host,sitemap_url,tier1_status,tier2_status,loc_count,is_index,reachable,outcome
rll.fas.harvard.edu,https://rll.fas.harvard.edu/sitemap.xml,403,200,441,False,True,needed_tier2
seas.harvard.edu,https://seas.harvard.edu/sitemap.xml,200,200,3,True,True,tier1_ok
slavic.fas.harvard.edu,https://slavic.fas.harvard.edu/sitemap.xml,403,200,1079,False,True,needed_tier2
socialstudies.fas.harvard.edu,https://socialstudies.fas.harvard.edu/sitemap.xml,403,200,269,False,True,needed_tier2
sociology.fas.harvard.edu,https://sociology.fas.harvard.edu/sitemap.xml,403,200,2,True,True,needed_tier2
sas.fas.harvard.edu,https://sas.fas.harvard.edu/wp-sitemap.xml,200,200,6,True,True,tier1_ok
specialconcentrations.fas.harvard.edu,https://specialconcentrations.fas.harvard.edu/sitemap.xml,403,200,184,False,True,needed_tier2
statistics.fas.harvard.edu,https://statistics.fas.harvard.edu/sitemap.xml,403,200,2,True,True,needed_tier2
wgs.fas.harvard.edu,https://wgs.fas.harvard.edu/sitemap.xml,403,200,1038,False,True,needed_tier2
tdm.fas.harvard.edu,https://tdm.fas.harvard.edu/sitemap.xml,403,200,1454,False,True,needed_tier2
